tipo_dado,metrica,valor,nc,epochs,seed
real+synthetic,MAPE,36.43467724323273,40,150,82
real,R²,0.6457279324531555,40,200,82
real,MAE,1023.718994140625,40,200,82
real,RMSE,1257.2935218158088,40,200,82
real,MAPE,32.5614869594574,40,200,82
synthetic,R²,0.6074020862579346,40,200,82
synthetic,MAE,1046.0650634765625,40,200,82
synthetic,RMSE,1323.555675066221,40,200,82
synthetic,MAPE,39.39810395240784,40,200,82
real+synthetic,R²,0.6418774127960205,40,200,82
real+synthetic,MAE,1031.68408203125,40,200,82
real+synthetic,RMSE,1264.1076892417038,40,200,82
real+synthetic,MAPE,30.61363399028778,40,200,82
real,R²,0.6516503095626831,40,250,82
real,MAE,1009.671142578125,40,250,82
real,RMSE,1246.7400992187586,40,250,82
real,MAPE,32.610395550727844,40,250,82
synthetic,R²,0.6168416738510132,40,250,82
synthetic,MAE,1059.093994140625,40,250,82
synthetic,RMSE,1307.547131081706,40,250,82
synthetic,MAPE,36.482736468315125,40,250,82
real+synthetic,R²,0.6500345468521118,40,250,82
real+synthetic,MAE,1003.42724609375,40,250,82
real+synthetic,RMSE,1249.6282447192045,40,250,82
real+synthetic,MAPE,33.38744044303894,40,250,82
real,R²,0.44612377882003784,40,50,123
real,MAE,1258.11279296875,40,50,123
real,RMSE,1572.0797530659822,40,50,123
real,MAPE,34.884414076805115,40,50,123
synthetic,R²,0.3266932964324951,40,50,123
synthetic,MAE,1329.9781494140625,40,50,123
synthetic,RMSE,1733.3038539159832,40,50,123
synthetic,MAPE,38.71257305145264,40,50,123
real+synthetic,R²,0.3415379524230957,40,50,123
real+synthetic,MAE,1403.2110595703125,40,50,123
real+synthetic,RMSE,1714.0898459532393,40,50,123
real+synthetic,MAPE,36.96429431438446,40,50,123
real,R²,0.6453936100006104,40,80,123
real,MAE,1015.5186157226562,40,80,123
real,RMSE,1257.8866701734303,40,80,123
real,MAPE,34.633806347846985,40,80,123
synthetic,R²,0.5368223786354065,40,80,123
synthetic,MAE,1143.207763671875,40,80,123
synthetic,RMSE,1437.6130825086423,40,80,123
synthetic,MAPE,34.05848443508148,40,80,123
real+synthetic,R²,0.508528470993042,40,80,123
real+synthetic,MAE,1216.7581787109375,40,80,123
real+synthetic,RMSE,1480.8716183383353,40,80,123
real+synthetic,MAPE,33.565714955329895,40,80,123
real,R²,0.15012842416763306,40,100,123
real,MAE,1356.2926025390625,40,100,123
real,RMSE,1947.3538456069045,40,100,123
real,MAPE,35.85616946220398,40,100,123
synthetic,R²,-0.08651483058929443,40,100,123
synthetic,MAE,1808.686767578125,40,100,123
synthetic,RMSE,2201.8415020159828,40,100,123
synthetic,MAPE,43.61254274845123,40,100,123
real+synthetic,R²,0.37989675998687744,40,100,123
real+synthetic,MAE,1355.920654296875,40,100,123
real+synthetic,RMSE,1663.4135084217635,40,100,123
real+synthetic,MAPE,34.753069281578064,40,100,123
real,R²,0.6409742832183838,40,150,123
real,MAE,1035.3590087890625,40,150,123
real,RMSE,1265.70069526725,40,150,123
real,MAPE,31.288403272628784,40,150,123
synthetic,R²,0.6074061393737793,40,150,123
synthetic,MAE,1075.86083984375,40,150,123
synthetic,RMSE,1323.5488279621572,40,150,123
synthetic,MAPE,31.819051504135132,40,150,123
real+synthetic,R²,0.47084343433380127,40,150,123
real+synthetic,MAE,1106.2840576171875,40,150,123
real+synthetic,RMSE,1536.598190809816,40,150,123
real+synthetic,MAPE,41.66227877140045,40,150,123
real,R²,0.4898129105567932,40,200,123
real,MAE,1159.73388671875,40,200,123
real,RMSE,1508.8044107835847,40,200,123
real,MAPE,36.71303391456604,40,200,123
synthetic,R²,0.6329417824745178,40,200,123
synthetic,MAE,1019.828369140625,40,200,123
synthetic,RMSE,1279.781133631841,40,200,123
synthetic,MAPE,35.095638036727905,40,200,123
real+synthetic,R²,0.6347990036010742,40,200,123
real+synthetic,MAE,1021.165771484375,40,200,123
real+synthetic,RMSE,1276.5392669244452,40,200,123
