tipo_dado,metrica,valor,nc,epochs,seed
real+synthetic,MAPE,37.114185094833374,20,150,380
real,R²,0.6479905843734741,20,100,413
real,MAE,999.0234375,20,100,413
real,RMSE,1253.2720175604336,20,100,413
real,MAPE,33.46805274486542,20,100,413
synthetic,R²,0.5510170459747314,20,100,413
synthetic,MAE,1120.9266357421875,20,100,413
synthetic,RMSE,1415.4129256157016,20,100,413
synthetic,MAPE,38.28789293766022,20,100,413
real+synthetic,R²,0.49609559774398804,20,100,413
real+synthetic,MAE,1208.9327392578125,20,100,413
real+synthetic,RMSE,1499.4855784568254,20,100,413
real+synthetic,MAPE,32.16081261634827,20,100,413
real,R²,0.6513469815254211,20,150,413
real,MAE,997.712890625,20,150,413
real,RMSE,1247.2828468314635,20,150,413
real,MAPE,33.727627992630005,20,150,413
synthetic,R²,0.5648320317268372,20,150,413
synthetic,MAE,1132.63623046875,20,150,413
synthetic,RMSE,1393.46694435139,20,150,413
synthetic,MAPE,33.8117241859436,20,150,413
real+synthetic,R²,0.6242750883102417,20,150,413
real+synthetic,MAE,1056.76318359375,20,150,413
real+synthetic,RMSE,1294.8015291927948,20,150,413
real+synthetic,MAPE,29.315289855003357,20,150,413
real,R²,-0.13433992862701416,20,100,447
real,MAE,1786.922119140625,20,100,447
real,RMSE,2249.778878023349,20,100,447
real,MAPE,42.33185350894928,20,100,447
synthetic,R²,0.5760964155197144,20,100,447
synthetic,MAE,1015.1778564453125,20,100,447
synthetic,RMSE,1375.3136460458757,20,100,447
synthetic,MAPE,40.04219174385071,20,100,447
real+synthetic,R²,0.5907773971557617,20,100,447
real+synthetic,MAE,1106.71875,20,100,447
real+synthetic,RMSE,1351.2882742035467,20,100,447
real+synthetic,MAPE,39.251551032066345,20,100,447
real,R²,0.46182405948638916,20,150,447
real,MAE,1246.7445068359375,20,150,447
real,RMSE,1549.6383449050297,20,150,447
real,MAPE,35.846757888793945,20,150,447
synthetic,R²,0.6462017297744751,20,150,447
synthetic,MAE,1025.5567626953125,20,150,447
synthetic,RMSE,1256.4524463743146,20,150,447
synthetic,MAPE,32.4513703584671,20,150,447
real+synthetic,R²,0.6358606219291687,20,150,447
real+synthetic,MAE,1043.8385009765625,20,150,447
real+synthetic,RMSE,1274.6825585219246,20,150,447
real+synthetic,MAPE,30.137059092521667,20,150,447
real,R²,0.4940875768661499,20,100,482
real,MAE,1162.651611328125,20,100,482
real,RMSE,1502.470216010953,20,100,482
real,MAPE,36.026531457901,20,100,482
synthetic,R²,-0.1680673360824585,20,100,482
synthetic,MAE,1589.044677734375,20,100,482
synthetic,RMSE,2282.980289008208,20,100,482
synthetic,MAPE,43.20240616798401,20,100,482
real+synthetic,R²,0.6051292419433594,20,100,482
real+synthetic,MAE,1083.3948974609375,20,100,482
real+synthetic,RMSE,1327.3812564594996,20,100,482
real+synthetic,MAPE,33.76065492630005,20,100,482
real,R²,0.6323322057723999,20,150,482
real,MAE,1047.8963623046875,20,150,482
real,RMSE,1280.8433744997865,20,150,482
real,MAPE,29.66075837612152,20,150,482
synthetic,R²,0.019083619117736816,20,150,482
synthetic,MAE,1587.018310546875,20,150,482
synthetic,RMSE,2092.108505790271,20,150,482
synthetic,MAPE,43.828922510147095,20,150,482
real+synthetic,R²,0.5908441543579102,20,150,482
real+synthetic,MAE,1092.6419677734375,20,150,482
real+synthetic,RMSE,1351.1780508134375,20,150,482
real+synthetic,MAPE,38.17250728607178,20,150,482
real,R²,0.2166653275489807,20,100,518
real,MAE,1581.0372314453125,20,100,518
real,RMSE,1869.5706726411815,20,100,518
real,MAPE,37.59774565696716,20,100,518
synthetic,R²,0.6035810112953186,20,100,518
synthetic,MAE,1049.9141845703125,20,100,518
synthetic,RMSE,1329.9810149020925,20,100,518
synthetic,MAPE,40.26216268539429,20,100,518
real+synthetic,R²,0.3072303533554077,20,100,518
real+synthetic,MAE,1317.5579833984375,20,100,518
real+synthetic,RMSE,1758.1772521563348,20,100,518
real+synthetic,MAPE,36.50323152542114,20,100,518
real,R²,0.6327662467956543,20,150,518
real,MAE,1035.9813232421875,20,150,518
real,RMSE,1280.0871064111222,20,150,518
real,MAPE,35.629791021347046,20,150,518
synthetic,R²,0.6180040836334229,20,150,518
synthetic,MAE,1051.9375,20,150,518
synthetic,RMSE,1305.5622830795933,20,150,518
synthetic,MAPE,35.08990406990051,20,150,518
real+synthetic,R²,0.48368608951568604,20,150,518
real+synthetic,MAE,1136.714111328125,20,150,518
real+synthetic,RMSE,1517.8370301188465,20,150,518
real+synthetic,MAPE,36.185383796691895,20,150,518
real,R²,-0.021242737770080566,20,100,555
real,MAE,1726.564697265625,20,100,555
real,RMSE,2134.6796012516725,20,100,555
real,MAPE,38.91153335571289,20,100,555
synthetic,R²,0.591814398765564,20,100,555
synthetic,MAE,1115.9737548828125,20,100,555
