u_idx,v_idx,u_location_id,v_location_id,edge_type,distance_m
186,253,190,257,gap_tol,0.0
187,201,191,205,strict,
191,224,195,228,strict,
193,211,197,215,strict,
193,212,197,216,strict,
193,254,197,258,gap_tol,0.0
196,216,200,220,gap_tol,0.0
196,236,200,240,gap_tol,0.0
199,215,203,219,gap_tol,0.0
201,211,205,215,strict,
201,214,205,218,strict,
202,217,206,221,gap_tol,0.0
202,241,206,245,gap_tol,0.0
202,247,206,251,gap_tol,0.0
203,219,207,223,strict,
203,256,207,260,gap_tol,0.0
204,209,208,213,gap_tol,0.0
204,238,208,242,gap_tol,0.0
204,246,208,250,strict,
205,227,209,231,strict,
205,257,209,261,strict,
207,227,211,231,strict,
208,209,212,213,strict,
208,244,212,248,strict,
208,246,212,250,gap_tol,0.0
209,246,213,250,gap_tol,0.0
211,212,215,216,gap_tol,0.0
212,215,216,219,strict,
213,252,217,256,strict,
214,215,218,219,gap_tol,0.0
216,236,220,240,strict,
216,237,220,241,gap_tol,0.0
217,241,221,245,strict,
222,256,226,260,gap_tol,0.0
223,224,227,228,gap_tol,0.0
224,253,228,257,strict,
225,229,229,233,gap_tol,0.0
225,233,229,237,strict,
227,257,231,261,strict,
230,245,234,249,strict,
231,243,235,247,strict,
232,233,236,237,strict,
232,259,236,263,strict,
234,235,238,239,strict,
236,237,240,241,gap_tol,0.0
236,250,240,254,gap_tol,0.0
236,255,240,259,gap_tol,0.0
238,244,242,248,gap_tol,0.0
238,246,242,250,gap_tol,0.0
239,240,243,244,gap_tol,0.0
241,247,245,251,gap_tol,0.0
250,255,254,259,strict,
251,252,255,256,strict,
258,259,262,263,strict,
