od,hora_do_dia,dia_da_semana,n_viagens
alphabet city-clinton west,1,1,1
alphabet city-clinton west,4,3,1
alphabet city-clinton west,10,3,1
alphabet city-clinton west,19,3,1
alphabet city-clinton west,20,3,1
alphabet city-clinton west,0,4,1
alphabet city-clinton west,14,4,1
alphabet city-clinton west,18,4,2
alphabet city-clinton west,0,5,1
alphabet city-clinton west,1,5,1
alphabet city-clinton west,3,5,1
alphabet city-clinton west,9,5,1
alphabet city-clinton west,22,5,1
alphabet city-clinton west,23,5,1
alphabet city-co-op city,12,3,1
alphabet city-cobble hill,21,1,2
alphabet city-cobble hill,10,2,1
alphabet city-corona,19,1,2
alphabet city-corona,9,2,2
alphabet city-corona,2,5,2
alphabet city-crown heights north,10,0,1
alphabet city-crown heights north,0,2,1
alphabet city-crown heights north,1,3,1
alphabet city-crown heights north,22,4,1
alphabet city-crown heights south,10,0,1
alphabet city-downtown brooklyn/metrotech,2,5,1
alphabet city-dumbo/vinegar hill,11,0,1
alphabet city-dumbo/vinegar hill,9,1,1
alphabet city-dumbo/vinegar hill,10,3,1
alphabet city-dumbo/vinegar hill,1,4,1
alphabet city-dumbo/vinegar hill,16,5,1
alphabet city-east chelsea,4,0,1
alphabet city-east chelsea,6,0,3
alphabet city-east chelsea,8,0,1
alphabet city-east chelsea,10,0,2
alphabet city-east chelsea,22,0,1
alphabet city-east chelsea,7,1,1
alphabet city-east chelsea,8,1,1
alphabet city-east chelsea,9,1,2
alphabet city-east chelsea,10,1,2
alphabet city-east chelsea,12,1,1
alphabet city-east chelsea,15,1,1
alphabet city-east chelsea,22,1,1
alphabet city-east chelsea,6,2,1
alphabet city-east chelsea,14,2,1
alphabet city-east chelsea,16,2,1
alphabet city-east chelsea,18,2,1
alphabet city-east chelsea,20,2,1
alphabet city-east chelsea,22,2,1
alphabet city-east chelsea,23,2,1
alphabet city-east chelsea,2,3,1
alphabet city-east chelsea,5,3,1
alphabet city-east chelsea,6,3,2
alphabet city-east chelsea,7,3,1
alphabet city-east chelsea,8,3,1
alphabet city-east chelsea,9,3,1
alphabet city-east chelsea,10,3,2
alphabet city-east chelsea,17,3,1
alphabet city-east chelsea,18,3,1
alphabet city-east chelsea,19,3,1
alphabet city-east chelsea,22,3,3
alphabet city-east chelsea,23,3,2
alphabet city-east chelsea,0,4,1
alphabet city-east chelsea,1,4,1
alphabet city-east chelsea,3,4,1
alphabet city-east chelsea,4,4,2
alphabet city-east chelsea,6,4,1
alphabet city-east chelsea,7,4,1
alphabet city-east chelsea,8,4,1
alphabet city-east chelsea,11,4,2
alphabet city-east chelsea,16,4,1
alphabet city-east chelsea,18,4,1
alphabet city-east chelsea,19,4,4
alphabet city-east chelsea,20,4,1
alphabet city-east chelsea,21,4,1
alphabet city-east chelsea,23,4,1
alphabet city-east chelsea,0,5,1
alphabet city-east chelsea,1,5,1
alphabet city-east chelsea,7,5,1
alphabet city-east chelsea,9,5,3
alphabet city-east chelsea,10,5,1
alphabet city-east chelsea,11,5,1
alphabet city-east chelsea,12,5,1
alphabet city-east chelsea,13,5,1
alphabet city-east chelsea,14,5,1
alphabet city-east chelsea,15,5,2
alphabet city-east chelsea,17,5,1
alphabet city-east chelsea,19,5,1
alphabet city-east chelsea,21,5,1
alphabet city-east chelsea,22,5,2
alphabet city-east chelsea,23,5,1
alphabet city-east concourse/concourse village,10,1,1
alphabet city-east concourse/concourse village,10,4,1
alphabet city-east flatbush/farragut,1,5,1
alphabet city-east harlem north,9,0,1
alphabet city-east harlem north,11,0,1
alphabet city-east harlem north,15,0,1
alphabet city-east harlem north,17,0,1
alphabet city-east harlem north,7,1,1
alphabet city-east harlem north,9,1,1
alphabet city-east harlem north,10,1,1
alphabet city-east harlem north,13,2,1
alphabet city-east harlem north,7,4,1
alphabet city-east harlem north,8,4,1
alphabet city-east harlem north,13,4,1
alphabet city-east harlem north,16,4,1
alphabet city-east harlem north,0,5,1
alphabet city-east harlem north,1,5,1
alphabet city-east harlem north,13,5,1
alphabet city-east harlem north,15,5,1
alphabet city-east harlem south,5,0,1
alphabet city-east harlem south,8,0,1
alphabet city-east harlem south,22,0,1
alphabet city-east harlem south,7,1,1
alphabet city-east harlem south,10,1,1
alphabet city-east harlem south,22,1,2
alphabet city-east harlem south,23,1,1
alphabet city-east harlem south,1,2,1
alphabet city-east harlem south,8,2,1
alphabet city-east harlem south,11,3,1
alphabet city-east harlem south,12,3,1
alphabet city-east harlem south,18,3,2
alphabet city-east harlem south,22,3,2
alphabet city-east harlem south,23,3,3
alphabet city-east harlem south,2,4,1
alphabet city-east harlem south,5,4,1
alphabet city-east harlem south,7,4,1
alphabet city-east harlem south,9,4,1
alphabet city-east harlem south,11,4,1
alphabet city-east harlem south,13,4,1
alphabet city-east harlem south,19,4,1
alphabet city-east harlem south,22,4,1
alphabet city-east harlem south,0,5,2
alphabet city-east harlem south,1,5,1
alphabet city-east harlem south,13,5,1
alphabet city-east harlem south,17,5,2
alphabet city-east harlem south,23,5,1
alphabet city-east village,0,0,1
alphabet city-east village,2,0,1
alphabet city-east village,6,0,1
alphabet city-east village,7,0,1
alphabet city-east village,8,0,1
alphabet city-east village,9,0,2
alphabet city-east village,10,0,1
alphabet city-east village,14,0,2
alphabet city-east village,15,0,2
alphabet city-east village,16,0,2
alphabet city-east village,17,0,1
alphabet city-east village,20,0,1
alphabet city-east village,21,0,2
alphabet city-east village,1,1,1
alphabet city-east village,2,1,1
alphabet city-east village,5,1,1
alphabet city-east village,6,1,1
alphabet city-east village,9,1,1
alphabet city-east village,10,1,1
alphabet city-east village,11,1,1
