od,hora_do_dia,dia_da_semana,n_viagens
alphabet city-flatiron,7,2,1
alphabet city-flatiron,10,2,1
alphabet city-flatiron,12,2,2
alphabet city-flatiron,13,2,1
alphabet city-flatiron,14,2,2
alphabet city-flatiron,18,2,1
alphabet city-flatiron,7,3,2
alphabet city-flatiron,9,3,1
alphabet city-flatiron,14,3,1
alphabet city-flatiron,22,3,1
alphabet city-flatiron,23,3,2
alphabet city-fort greene,2,0,1
alphabet city-fort greene,7,0,1
alphabet city-fort greene,22,2,1
alphabet city-fort greene,2,3,1
alphabet city-fort greene,21,3,2
alphabet city-garment district,6,0,1
alphabet city-garment district,7,0,1
alphabet city-garment district,12,0,1
alphabet city-garment district,15,0,2
alphabet city-garment district,10,1,1
alphabet city-garment district,18,1,1
alphabet city-garment district,7,2,1
alphabet city-garment district,8,2,2
alphabet city-garment district,10,2,1
alphabet city-garment district,17,2,1
alphabet city-garment district,21,2,1
alphabet city-garment district,22,2,1
alphabet city-garment district,0,3,1
alphabet city-garment district,7,3,2
alphabet city-garment district,10,3,1
alphabet city-garment district,14,3,1
alphabet city-garment district,16,3,2
alphabet city-garment district,19,3,1
alphabet city-gramercy,1,0,4
alphabet city-gramercy,3,0,2
alphabet city-gramercy,8,0,2
alphabet city-gramercy,9,0,1
alphabet city-gramercy,11,0,1
alphabet city-gramercy,14,0,1
alphabet city-gramercy,15,0,1
alphabet city-gramercy,20,0,1
alphabet city-gramercy,0,1,1
alphabet city-gramercy,1,1,1
alphabet city-gramercy,5,1,3
alphabet city-gramercy,7,1,1
alphabet city-gramercy,8,1,1
alphabet city-gramercy,9,1,2
alphabet city-gramercy,10,1,3
alphabet city-gramercy,14,1,2
alphabet city-gramercy,18,1,2
alphabet city-gramercy,22,1,1
alphabet city-gramercy,7,2,3
alphabet city-gramercy,8,2,1
alphabet city-gramercy,9,2,3
alphabet city-gramercy,11,2,1
alphabet city-gramercy,12,2,3
alphabet city-gramercy,18,2,2
alphabet city-gramercy,19,2,1
alphabet city-gramercy,21,2,1
alphabet city-gramercy,22,2,1
alphabet city-gramercy,5,3,1
alphabet city-gramercy,7,3,2
alphabet city-gramercy,8,3,2
alphabet city-gramercy,9,3,3
alphabet city-gramercy,10,3,1
alphabet city-gramercy,12,3,1
alphabet city-gramercy,15,3,1
alphabet city-gramercy,21,3,1
alphabet city-gramercy,23,3,1
alphabet city-greenpoint,0,0,1
alphabet city-greenpoint,2,1,1
alphabet city-greenpoint,21,1,1
alphabet city-greenpoint,22,3,1
alphabet city-greenwich village north,1,0,1
alphabet city-greenwich village north,4,0,1
alphabet city-greenwich village north,9,0,1
alphabet city-greenwich village north,15,0,1
