od,n_viagens_validacao,n_viagens_sintetico,participacao_validacao_pct,participacao_sintetico_pct
lenox hill east-midtown east,1136,1580,0.16752963106612848,0.14433178039645567
lincoln square east-midtown center,1131,1718,0.16679226473221068,0.15693797387412076
upper east side south-midtown north,1120,1640,0.16517005879759145,0.149812734082397
lenox hill west-lenox hill west,1115,1828,0.16443269246367365,0.16698638896501325
sutton place/turtle bay north-upper east side south,1111,1596,0.1638427993965394,0.14579336804604
lincoln square east-lincoln square east,1103,1987,0.1626630132622709,0.18151091623275784
midtown center-times sq/theatre district,1100,1758,0.1622205934619202,0.16059194299808166
times sq/theatre district-midtown center,1095,1511,0.16148322712800237,0.13802868365762308
upper west side north-lincoln square east,1094,1804,0.1613357538612188,0.1647940074906367
lincoln square east-midtown north,1085,1468,0.16000849446016674,0.13410066684936514
clinton east-east chelsea,1072,1690,0.1580913419919804,0.15438019548734813
murray hill-union sq,1059,1557,0.15617418952379408,0.14223074815017814
lenox hill east-yorkville east,1049,1613,0.15469945685595843,0.14734630492372341
lenox hill east-yorkville west,1042,1649,0.15366714398847348,0.1506348771352882
upper east side north-midtown north,1042,1433,0.15366714398847348,0.13090344386589933
midtown north-lincoln square east,1036,1484,0.1527823043877721,0.13556225449894949
laguardia airport-midtown center,1036,1310,0.1527823043877721,0.11966748880971956
yorkville east-lenox hill east,1033,1590,0.15233988458742143,0.14524527267744586
upper east side south-upper west side north,1029,1458,0.15174999152028718,0.1331871745683749
penn station/madison sq west-midtown east,1012,1434,0.14924294598496657,0.13099479309399836
upper west side south-upper east side south,1008,1533,0.14865305291783232,0.14003836667580158
midtown center-lenox hill east,1008,1361,0.14865305291783232,0.12432629944276971
yorkville east-upper east side south,992,1322,0.14629348064929532,0.12076367954690782
lenox hill west-yorkville west,986,1714,0.1454086410485939,0.15657257696172466
upper west side south-lincoln square west,983,1690,0.14496622124824324,0.15438019548734813
union sq-midtown center,979,1386,0.14437632818110896,0.12661003014524527
