tipo_dado,metrica,valor,nc,epochs,seed
real+synthetic,RMSE,1901.2484056535063,25,150,9724708639402260678
real,R²,-0.782102108001709,25,150,5742554227155023026
real,MAE,3272.23876953125,25,150,5742554227155023026
real,RMSE,3703.6699366979233,25,150,5742554227155023026
synthetic,R²,-0.09185731410980225,25,150,5742554227155023026
synthetic,MAE,713.00390625,25,150,5742554227155023026
synthetic,RMSE,1980.6487573519944,25,150,5742554227155023026
real+synthetic,R²,-0.14621853828430176,25,150,5742554227155023026
real+synthetic,MAE,876.1578369140625,25,150,5742554227155023026
real+synthetic,RMSE,2562.219935914948,25,150,5742554227155023026
real,R²,0.12869292497634888,25,150,9475953274328311893
real,MAE,2258.380859375,25,150,9475953274328311893
real,RMSE,2589.7128219167466,25,150,9475953274328311893
synthetic,R²,0.3289545774459839,25,150,9475953274328311893
synthetic,MAE,601.0667724609375,25,150,9475953274328311893
synthetic,RMSE,1552.7461962600328,25,150,9475953274328311893
real+synthetic,R²,0.3073006272315979,25,150,9475953274328311893
real+synthetic,MAE,721.4002075195312,25,150,9475953274328311893
real+synthetic,RMSE,1991.8429280442772,25,150,9475953274328311893
real,R²,0.6211907863616943,25,200,3665937216875713906
real,MAE,1327.1104736328125,25,200,3665937216875713906
real,RMSE,1707.5610530812653,25,200,3665937216875713906
synthetic,R²,0.41199350357055664,25,200,3665937216875713906
synthetic,MAE,579.2800903320312,25,200,3665937216875713906
synthetic,RMSE,1453.5018059844301,25,200,3665937216875713906
real+synthetic,R²,0.3861566185951233,25,200,3665937216875713906
real+synthetic,MAE,709.341796875,25,200,3665937216875713906
real+synthetic,RMSE,1875.0440661488465,25,200,3665937216875713906
real,R²,0.7235121130943298,25,200,7209430867241041451
real,MAE,1079.075439453125,25,200,7209430867241041451
real,RMSE,1458.827782844843,25,200,7209430867241041451
synthetic,R²,0.1371263861656189,25,200,7209430867241041451
synthetic,MAE,688.6461181640625,25,200,7209430867241041451
synthetic,RMSE,1760.751686070469,25,200,7209430867241041451
real+synthetic,R²,0.20235270261764526,25,200,7209430867241041451
real+synthetic,MAE,807.755859375,25,200,7209430867241041451
real+synthetic,RMSE,2137.4115186365025,25,200,7209430867241041451
real,R²,0.6108828186988831,25,200,18106153425710724691
real,MAE,1370.832275390625,25,200,18106153425710724691
real,RMSE,1730.6378159511019,25,200,18106153425710724691
synthetic,R²,0.23832547664642334,25,200,18106153425710724691
synthetic,MAE,663.4068603515625,25,200,18106153425710724691
