epoch,train_nll_total,train_nll_h,train_nll_o,train_nll_d,train_nll_r,train_nll_passenger,train_nll_total_amount,val_nll_total,val_nll_h,val_nll_o,val_nll_d,val_nll_r,val_nll_passenger,val_nll_total_amount
12,11.825421333312988,2.9747185707092285,3.790853977203369,3.8571813106536865,-0.0028211823664605618,0.769202470779419,0.4362879991531372,11.787630081176758,2.978574514389038,3.7815403938293457,3.849168062210083,-0.0030736771877855062,0.7490381598472595,0.4323817491531372
13,11.816064834594727,2.97471022605896,3.7907328605651855,3.8555357456207275,-0.002935322467237711,0.768956184387207,0.4290713369846344,11.780463218688965,2.9785938262939453,3.7815322875976562,3.84826922416687,-0.0032065289560705423,0.7489959001541138,0.4262787401676178
14,11.808076858520508,2.9747023582458496,3.7905173301696777,3.8538975715637207,-0.0030184099450707436,0.7687440514564514,0.4232332706451416,11.7706298828125,2.9785187244415283,3.7821290493011475,3.8469014167785645,-0.002879402367398143,0.7487568855285645,0.4172012507915497
15,11.801678657531738,2.9747023582458496,3.790426015853882,3.8527679443359375,-0.0030957551207393408,0.7685014009475708,0.4183675944805145,11.769929885864258,2.9785540103912354,3.7815582752227783,3.845776319503784,-0.0027966750785708427,0.7487241625785828,0.41811349987983704
16,11.795103073120117,2.9747118949890137,3.790348529815674,3.851541757583618,-0.003125174902379513,0.7682726979255676,0.4133540987968445,11.76662826538086,2.978567361831665,3.7820374965667725,3.8451945781707764,-0.0027415677905082703,0.7484999895095825,0.4150714576244354
17,11.789790153503418,2.9747073650360107,3.790153741836548,3.8503549098968506,-0.0032676069531589746,0.7679895162582397,0.40985414385795593,11.76272964477539,2.9785659313201904,3.781862258911133,3.8446645736694336,-0.0031561139039695263,0.7482362389564514,0.41255736351013184
18,11.785131454467773,2.974708318710327,3.7901296615600586,3.8496057987213135,-0.0033409809693694115,0.7679204344749451,0.4061107039451599,11.754542350769043,2.9785830974578857,3.7817585468292236,3.8440070152282715,-0.002989906119182706,0.7482826709747314,0.40489813685417175
19,11.780115127563477,2.9747087955474854,3.7900493144989014,3.8484556674957275,-0.003346686251461506,0.7678097486495972,0.40244370698928833,11.756669044494629,2.9785568714141846,3.781886100769043,3.844298839569092,-0.003253599628806114,0.7481388449668884,0.4070432782173157
20,11.776721000671387,2.974714517593384,3.7899904251098633,3.8477206230163574,-0.0034852693788707256,0.7675643563270569,0.40021950006484985,11.754026412963867,2.978605031967163,3.78166127204895,3.8433053493499756,-0.0031848757062107325,0.7480138540267944,0.405624121427536
21,11.77269172668457,2.9747047424316406,3.789855718612671,3.846912384033203,-0.003567533800378442,0.7673925161361694,0.39739325642585754,11.751368522644043,2.97868013381958,3.7817182540893555,3.842477560043335,-0.0030668273102492094,0.7476980686187744,0.4038635790348053
22,11.769486427307129,2.9747111797332764,3.789828062057495,3.846118927001953,-0.0036874008364975452,0.7673109769821167,0.39520788192749023,11.751644134521484,2.978529691696167,3.7816522121429443,3.8409764766693115,-0.0028553048614412546,0.7481235861778259,0.40521958470344543
23,11.766974449157715,2.974701166152954,3.7897024154663086,3.8454980850219727,-0.003702448680996895,0.7672430276870728,0.393530011177063,11.747543334960938,2.9786012172698975,3.781939744949341,3.8421218395233154,-0.002934063784778118,0.748121976852417,0.39969488978385925
24,11.763713836669922,2.9747040271759033,3.7896292209625244,3.844871997833252,-0.003819897072389722,0.7670179605484009,0.3913065195083618,11.747337341308594,2.9785006046295166,3.782071113586426,3.8400251865386963,-0.003041375195607543,0.7478492259979248,0.4019290804862976
