record_type,metric_table,run_section,metric_key,value,value_type,source_file,status,section_type,split,row_index,category,feature,real_prob,synth_prob,abs_diff
section_metric,metrics,strategy_hold,cov_tr_te,95.397,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,cov_tr_syn,95.824,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,cov_te_syn,96.319,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,coverage_k,5.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,coverage_max_samples,100000.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,coverage_time_weight,1.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,coverage_space_weight,1.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,dcr_tr_syn_p05,0.1020172387,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,dcr_hold_syn_p05,0.1017505974,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_hold,rdcr_p05,1.0026205387,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_hold.json,ok,metric_json,,,,,,,
